,productname,productprice,productrating,productlink,productimages
0,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)","2,199",4.3 out of 5 stars,https://www.amazon.in//Xiaomi-20000mAh-Charging-Delivery-Supports/dp/B0DCZ3WDTB,https://m.media-amazon.com/images/I/51c5j0aJtYL._AC_UL320_.jpg
1,"Kratos Legend Champ Power Bank 20000mAH, Fast Charging 22.5W, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge Power Bank for iPhone, Android & Other Phones, BIS Certified,Made in India","1,099",4.8 out of 5 stars,https://www.amazon.in//Kratos-20000mAH-Charging-Delivery-Certified/dp/B0DCSTGJJ5,https://m.media-amazon.com/images/I/61fHBG3SNIL._AC_UL320_.jpg
2,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Blue|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)","2,199",4.3 out of 5 stars,https://www.amazon.in//Xiaomi-20000mAh-Charging-Delivery-Supports/dp/B0DCNZGW36,https://m.media-amazon.com/images/I/611J+4ry-vL._AC_UL320_.jpg
3,"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android and Apple, Tablets, Earbuds, Watches etc","1,299",4.2 out of 5 stars,https://www.amazon.in//Xiaomi-10000mAh-Charging-Delivery-Supports/dp/B0D73XBQRW,https://m.media-amazon.com/images/I/313dDwp81RL._AC_UL320_.jpg
4,"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)","1,499",3.9 out of 5 stars,https://www.amazon.in//Ambrane-Wireless-10000mAh-Charging-Magnetic/dp/B0D9S87H53,https://m.media-amazon.com/images/I/61H84kDDNFL._AC_UL320_.jpg
5,"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Dark Blue)","1,099",3.8 out of 5 stars,https://www.amazon.in//Charging-Devices-Simultaneously-Smartphones-Speakers/dp/B0D96HMLYX,https://m.media-amazon.com/images/I/61QjleFJq5L._AC_UL320_.jpg
6,"Portronics Luxcell MagClick 10k 10000 mAh 15W Magnetic Wireless Fast Charging Power Bank Premium Finish, 22.5 Wired Output Compatible with iPhone 12 & Above,Type C Smartphones,Tablets(Dark Grey)","1,498",3.9 out of 5 stars,https://www.amazon.in//Portronics-MagClick-Magnetic-Compatible-Smartphones/dp/B0D45GMSFZ,https://m.media-amazon.com/images/I/51BsxOdN0xL._AC_UL320_.jpg
7,URBN 5000 mAh Premium Magsafe Power Bank | 15W Fast Wireless Charging |Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Purple),"1,999",3.6 out of 5 stars,https://www.amazon.in//URBN-Wireless-Charging-Magnetic-Included/dp/B0CRYTKZYW,https://m.media-amazon.com/images/I/61yj2LaKATL._AC_UL320_.jpg
8,"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Purple)","1,499",3.9 out of 5 stars,https://www.amazon.in//Ambrane-Wireless-10000mAh-Charging-Magnetic/dp/B0D9S9TV5Q,https://m.media-amazon.com/images/I/6199hEwNH6L._AC_UL320_.jpg
9,"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices, Premium Rubberized Coating (Aerosync Snap, Yellow)","1,399",3.9 out of 5 stars,https://www.amazon.in//Ambrane-Wireless-10000mAh-Charging-Rubberized/dp/B0DFWF14PZ,https://m.media-amazon.com/images/I/61TY+qpt8iL._AC_UL320_.jpg
10,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Olive Green|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)","2,199",4.3 out of 5 stars,https://www.amazon.in//Xiaomi-20000mAh-Charging-Delivery-Supports/dp/B0DCP1FPX9,https://m.media-amazon.com/images/I/61MgniaWJPL._AC_UL320_.jpg
11,"Ambrane Magsafe Wireless 10000Mah Fast Charging Power Bank,Strong Magnet,22.5W Output for iPhone 12 Back Cover & Above,Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap,Silver)","1,499",3.9 out of 5 stars,https://www.amazon.in//Ambrane-Wireless-10000Mah-Charging-Magnetic/dp/B0D9S9514B,https://m.media-amazon.com/images/I/71zfGCJL--L._AC_UL320_.jpg
12,"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)","1,499",4.3 out of 5 stars,https://www.amazon.in//Pocket-10000mAh-Triple-Charging-Delivery/dp/B08MC57J31,https://m.media-amazon.com/images/I/71pBjes-NTS._AC_UL320_.jpg
13,"Ambrane 10000mAh Magsafe Fast Wireless Charging Power Bank, Strong Metal Mobile Stand, 22.5W Wired + 15W Wireless for iPhone 12 & Above, Android & Qi Enabled Devices (Aerosync PB 11, Black)","1,998",4.0 out of 5 stars,https://www.amazon.in//Ambrane-10000mAh-Wireless-PB-11/dp/B0D4TS9B97,https://m.media-amazon.com/images/I/71r-Wg4tXWL._AC_UL320_.jpg
14,Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),"1,599",3.9 out of 5 stars,https://www.amazon.in//Portronics-Wireless-10000mAh-Magnetic-Compatible/dp/B0CRVQC189,https://m.media-amazon.com/images/I/614Z-KXBiCL._AC_UL320_.jpg
15,"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Coral Purple|Supports Android and Apple, Tablets, Earbuds, Watches etc","1,299",4.2 out of 5 stars,https://www.amazon.in//Xiaomi-10000mAh-Charging-Delivery-Supports/dp/B0D73W5Q39,https://m.media-amazon.com/images/I/419OMyMyL-L._AC_UL320_.jpg
16,Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Light Blue),"1,398",3.9 out of 5 stars,https://www.amazon.in//Portronics-Wireless-10000mAh-Magnetic-Compatible/dp/B0CRYLBPMM,https://m.media-amazon.com/images/I/61Syu0DJ09L._AC_UL320_.jpg
17,"ZEBRONICS MW63 Wireless Power Bank, 10000 mAh, Rapid Charge, Magsafe, Outputs - 20W Wired | 15W Wireless, Type C PD, Built in Protections, LED Indicator, Compatible with iPhone, Made in India","1,619",3.2 out of 5 stars,https://www.amazon.in//ZEBRONICS-Wireless-Charge-Magsafe-Outputs/dp/B0D22X167Q,https://m.media-amazon.com/images/I/51DueDHytsL._AC_UL320_.jpg
18,"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Green)","1,499",4.6 out of 5 stars,https://www.amazon.in//pTron-Dynamo-Power-20000mAh-Charging/dp/B0DHH89HCR,https://m.media-amazon.com/images/I/518+NKyTn4L._AC_UL320_.jpg
19,"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Green)",789,3.9 out of 5 stars,https://www.amazon.in//Portronics-Luxcell-Charging-Output-Button/dp/B0CQK537RQ,https://m.media-amazon.com/images/I/51cVWTAZTQL._AC_UL320_.jpg
20,"Portronics Luxcell Bind 20k 20000mAh Powerbank with 22.5W Fast Charging, in-Built Type C PD(Input & Output) /8 Pin Cable, LED Indicator, USB-A Mach Output, Compatible with Smartphones,Tablets(Black)","1,449",4.1 out of 5 stars,https://www.amazon.in//Portronics-Powerbank-Indicator-Compatible-Smartphones/dp/B0D5V3VFDM,https://m.media-amazon.com/images/I/51nI8AwdQYL._AC_UL320_.jpg
21,"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Carbon Black)","1,099",4.0 out of 5 stars,https://www.amazon.in//boAt-Energyshroom-PB300-Protection-Indicators/dp/B0C7C3WY74,https://m.media-amazon.com/images/I/61OxQUfZpZL._AC_UL320_.jpg
22,"boAt Newly Launched Pocket Energyshroom PB400 Pro 20000mAh | Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports,2-Way 22.5W Fast Charging, Pass-Through Charging(Steel Blue)","1,799",4.1 out of 5 stars,https://www.amazon.in//boAt-Launched-Energyshroom-20000mAh-Pass-Through/dp/B0DFGZW6JG,https://m.media-amazon.com/images/I/61AErPaUAPL._AC_UL320_.jpg
23,"Xiaomi Pocket Power Bank pro 10000mAh 33W Super Fast Charging PD|Compact|Power Delivery|QC 3.0|Type C Input & Output|Triple Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches etc (MI)","1,799",4.3 out of 5 stars,https://www.amazon.in//Xiaomi-10000mAh-Charging-Delivery-Supports/dp/B0DCP2RTX7,https://m.media-amazon.com/images/I/71F4uh0VyLL._AC_UL320_.jpg
